condition,seed,total_prey_collected,predator_incidents,survival_rate,time_to_first_prey,prey_completion_rate,all_prey_collected,time_to_all_prey,bats_eaten,llm_survived,timeout,all_bats_dead,episodes_with_zero_deaths,episode_result
rule_stig_off,0,48,19,1.0,49,1.0,1,161,0,0,0,0,1,success
rule_stig_off,1,48,26,1.0,11,1.0,1,246,0,0,0,0,1,success
rule_stig_off,2,47,0,1.0,0,1.0,1,118,0,0,0,0,1,success
rule_stig_off,3,44,0,1.0,24,1.0,1,158,0,0,0,0,1,success
rule_stig_off,4,47,0,1.0,9,1.0,1,120,0,0,0,0,1,success
rule_stig_off,5,46,0,1.0,28,1.0,1,159,0,0,0,0,1,success
rule_stig_off,6,48,48,1.0,29,1.0,1,174,0,0,0,0,1,success
rule_stig_off,7,42,0,1.0,32,1.0,1,121,0,0,0,0,1,success
rule_stig_off,8,48,17,1.0,0,1.0,1,184,0,0,0,0,1,success
rule_stig_off,9,46,121,1.0,15,1.0,1,244,0,0,0,0,1,success
rule_stig_off,10,45,58,1.0,20,1.0,1,217,0,0,0,0,1,success
rule_stig_off,11,47,0,1.0,27,1.0,1,143,0,0,0,0,1,success
rule_stig_off,12,47,0,1.0,20,1.0,1,100,0,0,0,0,1,success
rule_stig_off,13,48,22,1.0,0,1.0,1,90,0,0,0,0,1,success
rule_stig_off,14,47,17,1.0,0,1.0,1,146,0,0,0,0,1,success
rule_stig_off,15,46,0,1.0,46,1.0,1,147,0,0,0,0,1,success
rule_stig_off,16,47,0,1.0,22,1.0,1,129,0,0,0,0,1,success
rule_stig_off,17,42,3,1.0,12,1.0,1,79,0,0,0,0,1,success
rule_stig_off,18,47,6,1.0,8,1.0,1,138,0,0,0,0,1,success
rule_stig_off,19,45,0,1.0,49,1.0,1,160,0,0,0,0,1,success
rule_stig_on,0,48,41,1.0,48,1.0,1,125,0,0,0,0,1,success
rule_stig_on,1,48,0,1.0,11,1.0,1,213,0,0,0,0,1,success
rule_stig_on,2,47,0,1.0,0,1.0,1,106,0,0,0,0,1,success
rule_stig_on,3,44,0,1.0,24,1.0,1,169,0,0,0,0,1,success
rule_stig_on,4,47,0,1.0,9,1.0,1,112,0,0,0,0,1,success
rule_stig_on,5,46,0,1.0,29,1.0,1,164,0,0,0,0,1,success
rule_stig_on,6,48,34,1.0,39,1.0,1,181,0,0,0,0,1,success
rule_stig_on,7,42,0,1.0,32,1.0,1,115,0,0,0,0,1,success
rule_stig_on,8,48,31,1.0,0,1.0,1,168,0,0,0,0,1,success
rule_stig_on,9,46,45,1.0,20,1.0,1,240,0,0,0,0,1,success
rule_stig_on,10,45,40,1.0,22,1.0,1,224,0,0,0,0,1,success
rule_stig_on,11,47,0,1.0,27,1.0,1,137,0,0,0,0,1,success
rule_stig_on,12,47,0,1.0,20,1.0,1,100,0,0,0,0,1,success
rule_stig_on,13,48,18,1.0,0,1.0,1,124,0,0,0,0,1,success
rule_stig_on,14,47,18,1.0,0,1.0,1,152,0,0,0,0,1,success
rule_stig_on,15,46,0,1.0,46,1.0,1,118,0,0,0,0,1,success
rule_stig_on,16,47,0,1.0,23,1.0,1,140,0,0,0,0,1,success
rule_stig_on,17,42,0,1.0,12,1.0,1,232,0,0,0,0,1,success
rule_stig_on,18,47,5,1.0,8,1.0,1,156,0,0,0,0,1,success
rule_stig_on,19,45,0,1.0,48,1.0,1,159,0,0,0,0,1,success
llm_priv_on_recruit_on,0,48,1,1.0,31,1.0,1,241,0,1,0,0,1,success
llm_priv_on_recruit_on,1,48,20,1.0,18,1.0,1,292,0,1,0,0,1,success
llm_priv_on_recruit_on,2,47,21,1.0,0,1.0,1,213,0,1,0,0,1,success
llm_priv_on_recruit_on,3,44,0,1.0,30,1.0,1,435,0,1,0,0,1,success
llm_priv_on_recruit_on,4,47,59,1.0,20,1.0,1,181,0,1,0,0,1,success
llm_priv_on_recruit_on,5,46,9,1.0,17,1.0,1,261,0,1,0,0,1,success
llm_priv_on_recruit_on,6,48,137,1.0,39,1.0,1,170,0,1,0,0,1,success
llm_priv_on_recruit_on,7,42,7,1.0,42,1.0,1,190,0,1,0,0,1,success
llm_priv_on_recruit_on,8,48,67,1.0,0,1.0,1,368,0,1,0,0,1,success
llm_priv_on_recruit_on,9,46,84,1.0,17,1.0,1,284,0,1,0,0,1,success
llm_priv_on_recruit_on,10,45,362,1.0,46,1.0,1,517,0,1,0,0,1,success
llm_priv_on_recruit_on,11,47,0,1.0,29,1.0,1,303,0,1,0,0,1,success
llm_priv_on_recruit_on,12,47,0,1.0,27,1.0,1,115,0,1,0,0,1,success
llm_priv_on_recruit_on,13,48,100,1.0,0,1.0,1,102,0,1,0,0,1,success
llm_priv_on_recruit_on,14,47,54,1.0,0,1.0,1,234,0,1,0,0,1,success
llm_priv_on_recruit_on,15,46,0,1.0,50,1.0,1,193,0,1,0,0,1,success
llm_priv_on_recruit_on,16,47,0,1.0,25,1.0,1,194,0,1,0,0,1,success
llm_priv_on_recruit_on,17,42,22,1.0,17,1.0,1,479,0,1,0,0,1,success
llm_priv_on_recruit_on,18,47,33,1.0,16,1.0,1,306,0,1,0,0,1,success
llm_priv_on_recruit_on,19,45,0,1.0,61,1.0,1,330,0,1,0,0,1,success
llm_local_only_recruit_on,0,48,107,1.0,35,1.0,1,230,0,1,0,0,1,success
llm_local_only_recruit_on,1,48,14,1.0,11,1.0,1,410,0,1,0,0,1,success
llm_local_only_recruit_on,2,47,489,1.0,0,1.0,1,954,0,1,0,0,1,success
llm_local_only_recruit_on,3,41,9,1.0,24,0.9318181818181818,0,,0,1,1,0,1,partial
